transaction_id,floor_area_m2,bedrooms,building_age_years,distance_to_transit_km,neighborhood_score,renovation_quality,energy_efficiency,local_job_access_score,post_sale_assessment_k,sale_price_k
TX-0174,67.31,2,69,5.937,93.78,5,74.25,58.09,381.23,382.78
TX-0175,154.43,4,2,4.399,94.46,5,93.83,60.01,765.04,763.50
TX-0176,122.18,3,0,5.286,50.49,4,80.59,56.14,467.29,465.57
TX-0177,60.92,3,54,5.678,71.20,1,61.96,72.62,305.42,308.02
TX-0178,120.37,3,6,5.267,65.80,3,99.00,65.97,548.47,548.02
TX-0179,145.88,4,42,4.676,75.51,4,73.71,81.23,678.73,682.43
TX-0180,42.39,1,33,5.656,95.19,4,80.05,52.71,370.35,367.10
TX-0181,223.15,5,16,4.741,48.48,5,83.13,59.25,645.54,645.07
TX-0182,108.56,4,51,7.222,75.13,4,68.54,55.04,458.12,458.92
TX-0183,167.20,4,28,5.925,39.36,3,82.30,57.06,435.82,433.80
TX-0184,71.33,1,65,1.887,44.55,1,53.74,87.17,213.34,214.70
TX-0185,206.55,5,39,2.769,60.95,3,74.56,85.96,680.11,679.59
TX-0186,153.09,4,35,2.447,43.58,2,74.27,87.00,552.17,553.16
TX-0187,181.66,5,12,1.722,38.15,4,86.92,89.69,632.08,632.43
TX-0188,192.17,5,25,5.929,71.02,1,79.07,61.07,750.99,745.75
TX-0189,157.02,3,68,5.576,57.62,1,51.26,68.79,362.65,360.49
TX-0190,169.54,3,20,6.095,48.10,3,87.66,39.88,541.45,537.66
TX-0191,223.52,4,36,2.525,49.50,2,63.66,75.13,618.99,619.93
TX-0192,57.62,1,16,0.561,58.10,3,85.01,100.00,521.07,521.49
TX-0193,48.23,2,66,8.007,78.85,4,55.76,53.26,228.57,228.19
TX-0194,153.61,3,35,6.201,63.77,1,73.86,57.27,502.03,502.13
TX-0195,56.31,1,52,1.338,66.75,1,64.97,78.69,360.74,359.52
TX-0196,94.79,3,38,0.731,92.32,2,51.66,93.74,557.20,558.22
TX-0197,204.28,6,64,6.871,50.61,3,51.21,49.85,550.90,553.22
TX-0198,52.27,1,49,0.516,64.29,4,76.92,100.00,539.19,540.96
TX-0199,145.83,4,35,3.865,85.71,1,77.67,84.33,659.33,651.39
TX-0200,97.00,2,21,5.558,84.57,2,86.10,81.74,492.00,488.95
TX-0201,112.17,3,66,4.627,87.62,2,38.00,68.38,369.31,366.61
TX-0202,45.84,1,50,7.489,71.92,4,59.89,50.15,305.91,302.95
TX-0203,51.04,1,44,3.425,65.78,3,69.46,73.22,335.68,338.33
TX-0204,62.09,1,32,2.829,86.53,5,76.83,84.50,403.95,404.06
TX-0205,183.18,4,12,0.841,53.38,5,75.25,98.66,715.72,715.93
TX-0206,118.58,3,42,7.190,51.64,1,85.68,54.93,380.95,381.26
TX-0207,170.88,4,58,7.951,58.44,4,71.83,50.67,500.05,505.26
TX-0208,191.43,5,38,5.770,61.82,5,66.39,85.81,639.20,641.64
TX-0209,140.75,4,65,7.536,35.79,4,60.26,44.95,303.49,305.21
TX-0210,125.46,3,35,4.669,35.46,5,72.04,74.84,432.98,431.32
TX-0211,99.55,3,21,2.156,90.71,2,68.19,94.34,584.41,577.85
TX-0212,144.76,3,4,1.883,66.33,4,87.34,99.41,672.85,679.34
TX-0213,182.94,5,33,1.234,73.58,2,53.57,94.21,672.29,675.49
TX-0214,94.72,3,39,7.994,61.19,3,69.92,60.16,468.89,472.24
TX-0215,145.31,3,21,0.875,58.26,1,69.06,100.00,691.31,691.06
TX-0216,51.45,1,66,7.163,62.84,3,46.45,63.67,149.31,148.91
TX-0217,178.14,3,9,5.740,69.77,3,88.00,70.75,595.81,600.79
TX-0218,210.44,3,18,8.440,50.30,2,77.17,41.29,583.79,585.97
TX-0219,69.90,2,0,5.173,75.04,3,95.04,69.57,447.99,448.69
TX-0220,195.66,5,58,1.314,70.46,3,69.97,86.18,747.92,742.04
TX-0221,174.39,4,32,5.302,36.32,4,84.69,60.62,491.78,490.57
TX-0222,204.29,5,5,0.614,48.55,3,90.43,95.14,840.03,839.33
TX-0223,117.77,2,36,3.106,37.68,4,72.34,74.27,336.28,338.62
TX-0224,192.59,5,66,5.587,84.84,5,53.72,68.93,648.88,643.64
TX-0225,69.09,2,10,7.841,88.94,4,96.11,34.56,455.49,453.16
TX-0226,189.65,4,36,5.343,76.00,4,72.58,82.21,739.71,739.38
TX-0227,217.69,6,60,5.171,44.97,4,57.27,60.95,451.44,451.39
TX-0228,79.99,1,20,8.807,64.06,5,99.00,44.32,498.25,500.84
TX-0229,113.97,2,2,7.285,84.34,4,90.92,51.72,653.19,654.80
TX-0230,101.99,2,61,4.208,51.82,2,62.56,79.54,339.62,337.10
TX-0231,195.03,6,15,4.555,52.04,3,83.82,64.97,628.08,625.63
TX-0232,113.41,2,18,6.437,45.01,5,77.74,61.00,510.06,514.23
TX-0233,153.04,3,11,6.925,76.55,2,92.02,61.18,695.10,698.83
TX-0234,219.57,5,17,4.807,36.02,3,86.05,64.34,602.79,605.19
TX-0235,179.40,5,27,4.705,36.16,3,85.40,66.33,510.83,512.31
TX-0236,133.43,4,47,2.478,53.90,3,53.69,76.76,460.39,458.73
TX-0237,89.00,1,12,1.867,82.69,1,82.31,100.00,552.50,553.00
TX-0238,215.05,5,0,4.790,68.45,5,81.95,77.99,804.11,806.46
TX-0239,151.08,3,44,7.044,81.81,1,75.18,53.64,590.10,587.15
TX-0240,82.28,2,22,2.105,80.86,3,79.50,98.99,534.40,533.21
TX-0241,153.83,4,13,1.082,50.33,1,75.44,82.73,669.50,667.71
TX-0242,121.36,3,21,7.224,66.65,4,87.91,54.49,474.74,474.69
TX-0243,150.44,4,24,3.718,79.80,4,74.07,96.02,731.75,731.54
TX-0244,184.31,4,7,8.081,68.92,2,90.85,35.82,691.49,690.60
TX-0245,133.96,3,55,8.215,70.00,4,59.47,48.76,423.25,426.35
TX-0246,223.49,5,29,4.767,38.50,5,70.39,76.34,676.80,677.44
TX-0247,100.60,3,51,1.423,48.45,2,54.18,92.57,443.34,443.98
TX-0248,212.54,5,48,2.591,54.69,3,93.05,83.92,662.98,660.36
TX-0249,106.68,2,52,8.561,41.75,3,71.87,47.22,253.26,251.36
TX-0250,175.81,3,41,7.556,81.96,2,70.78,48.33,734.69,735.94
TX-0251,136.37,4,38,4.480,50.19,1,68.45,70.22,492.51,498.13
TX-0252,71.60,2,38,4.904,47.58,2,75.35,71.90,312.07,313.39
TX-0253,156.91,3,33,6.683,63.16,1,66.38,46.41,550.36,549.88
TX-0254,127.65,3,13,2.152,91.51,2,93.70,88.85,693.86,689.90
TX-0255,43.67,1,21,6.930,89.73,1,72.45,62.96,372.33,370.33
TX-0256,151.45,4,65,8.370,83.91,3,57.30,48.98,529.27,528.22
TX-0257,81.55,3,13,1.970,76.91,2,77.33,95.50,519.07,519.03
TX-0258,223.50,4,53,0.588,41.41,2,65.89,100.00,671.36,672.50
TX-0259,136.03,4,54,5.422,66.39,3,56.67,66.16,463.25,464.76
TX-0260,168.10,4,50,1.224,82.98,4,68.05,100.00,716.84,718.39
TX-0261,192.18,5,48,4.523,62.09,1,87.04,72.80,604.32,601.66
TX-0262,63.88,1,14,5.401,46.88,4,85.98,56.63,368.64,368.45
TX-0263,125.72,3,39,8.357,72.75,4,77.57,35.95,534.99,533.57
TX-0264,116.13,2,49,3.204,56.72,5,59.95,90.72,467.72,463.75
TX-0265,162.23,4,3,3.715,58.47,3,80.40,85.55,641.94,645.70
TX-0266,64.84,2,12,4.197,79.89,3,89.33,65.69,446.97,451.01
TX-0267,117.80,4,19,4.940,57.47,5,80.75,79.06,511.88,519.11
TX-0268,137.23,3,65,4.264,86.17,2,66.53,75.04,576.31,582.97
TX-0269,83.01,2,32,5.072,71.23,5,69.16,66.08,482.61,489.43
TX-0270,148.78,3,33,6.079,70.24,1,67.18,54.32,592.47,592.66
TX-0271,115.22,3,44,5.950,53.44,2,78.30,72.77,415.54,412.35
TX-0272,78.58,2,12,7.197,74.76,5,90.95,52.28,564.99,564.99
TX-0273,151.48,3,13,4.553,40.40,3,83.70,75.69,548.85,547.17
TX-0274,72.92,2,48,1.726,93.20,5,62.54,85.22,451.52,455.47
TX-0275,168.56,4,13,4.298,86.78,2,71.54,78.72,746.25,740.75
TX-0276,119.21,3,39,4.599,44.39,2,76.93,68.91,420.27,419.87
TX-0277,93.15,2,17,1.142,50.98,2,81.42,90.27,504.85,508.77
TX-0278,79.68,2,9,4.523,80.16,4,96.73,73.90,515.64,518.64
TX-0279,143.89,2,50,0.378,51.35,1,60.87,91.63,487.41,488.62
TX-0280,138.60,3,33,2.237,55.47,5,63.71,81.08,514.90,513.00
TX-0281,137.73,3,28,0.982,66.40,3,76.59,85.32,662.61,663.93
TX-0282,106.20,1,5,1.649,40.64,4,76.23,73.79,454.87,457.12
TX-0283,95.58,2,1,1.296,86.25,4,79.44,100.00,661.05,660.18
TX-0284,169.18,4,15,3.169,68.47,1,81.18,62.78,602.80,607.32
TX-0285,106.72,3,21,3.606,92.51,2,96.72,84.00,604.54,604.81
TX-0286,119.31,3,64,5.071,69.27,1,53.93,72.69,392.97,394.84
TX-0287,191.01,5,31,1.610,56.86,5,79.59,94.42,768.47,769.10
TX-0288,221.84,5,40,8.683,81.91,2,60.41,58.82,787.45,781.27
TX-0289,186.98,4,26,5.133,79.30,4,88.68,57.21,694.54,698.98
TX-0290,187.44,4,15,2.689,90.90,3,94.25,90.73,813.13,818.02
TX-0291,49.35,2,29,2.686,84.37,2,69.77,82.48,407.98,409.67
TX-0292,199.15,5,21,8.922,66.78,2,73.52,48.88,710.91,709.58
TX-0293,205.09,5,20,6.413,72.42,1,83.45,62.50,783.57,777.03
TX-0294,167.08,4,27,5.519,92.04,3,79.99,63.42,682.24,685.00
TX-0295,109.51,2,50,4.468,39.92,4,52.56,71.59,362.07,366.30
TX-0296,155.05,3,59,8.299,72.21,1,58.14,39.13,442.03,434.73
TX-0297,200.80,4,70,4.356,68.67,3,49.31,74.76,552.26,547.56
TX-0298,135.06,3,21,8.702,39.99,5,83.38,40.51,490.75,495.87
TX-0299,46.07,2,16,0.494,64.36,4,85.35,92.19,518.22,515.14
TX-0300,81.27,2,6,2.169,80.92,1,82.71,83.75,528.76,524.62
TX-0301,195.42,5,22,3.692,87.14,2,91.34,81.69,870.30,867.16
TX-0302,48.35,1,34,8.764,81.84,1,59.06,31.91,302.24,303.34
TX-0303,164.93,5,3,6.156,82.19,4,99.00,55.03,721.97,728.24
TX-0304,112.41,2,45,7.235,63.96,5,73.12,70.53,397.19,394.83
TX-0305,129.01,3,68,4.610,80.28,4,63.56,77.04,487.05,491.25
TX-0306,48.81,1,11,1.343,37.90,4,83.49,78.74,444.92,444.92
TX-0307,56.99,1,8,6.400,94.62,5,78.48,50.42,474.10,474.26
TX-0308,115.83,3,34,2.028,46.35,4,66.11,76.47,499.25,505.96
TX-0309,64.49,2,18,5.120,93.97,1,84.21,73.49,470.36,465.74
TX-0310,109.07,3,35,7.276,70.57,1,73.16,50.13,443.37,443.90
TX-0311,93.04,3,51,8.775,47.88,3,65.63,45.30,281.91,281.92
TX-0312,83.79,2,31,1.188,68.22,4,63.07,98.58,496.34,499.98
TX-0313,83.96,2,70,2.151,75.44,3,55.24,95.60,387.18,386.70
TX-0314,118.08,3,57,1.149,74.20,4,50.86,99.53,635.03,637.76
TX-0315,75.79,2,2,4.824,81.99,3,88.45,72.41,551.52,550.23
TX-0316,75.83,2,68,8.892,64.05,5,44.06,39.02,235.49,232.85
TX-0317,178.07,5,41,0.414,91.36,1,71.77,85.43,779.88,778.94
TX-0318,97.81,2,30,4.948,86.63,4,84.71,74.96,549.06,553.01
TX-0319,88.54,3,14,8.921,65.16,1,77.91,39.25,346.60,342.44
TX-0320,128.03,2,5,2.048,64.37,4,94.87,91.48,704.19,703.31
